문제 번호,문제,보기 1,보기 2,보기 3,보기 4,보기 5,정답,해설
39,RFID 기술이 지하 매설물 유지보수에서 해결하고자 하는 주요 문제점은?,지하 매설물의 물리적 손상 방지,해당 지하 매설물의 위치 및 정보 파악의 어려움,유지보수 작업 인력의 부족 문제,지하 매설물 시공 비용 절감,지하 매설물 관련 법규 준수 어려움,2,"지하 매설물의 유지보수에 있어서 항상 문제가 되는 것은 해당 지하 매설물의 위치 및 정보의 파악이 어려워 효율적인 유지관리가 어렵고 종종 잘못된 시설물을 조작하여 혼란이 초래된다는 것이며, RFID 기술은 이를 해소하기 위해 개발되었습니다."
40,"기존 블록 시스템 평가 항목 중, 블록 내 미고립 지역 발생 여부 검토 시의 재구축안으로 적절한 것은?",펌프 또는 밸브 설치 및 조작으로 수압 관리,배수지 간 비상 연결관로 설치,"블록 구획 및 규모를 재설정 (경계 밸브 신설, 밸브 및 관로 폐쇄를 통한 블록 정비 및 인접 블록과 통합하여 고립 재설정)","정체수 발생 지역에 이토 밸브, 자동 드레인 등 설치",블록 규모 및 경계의 적절성 평가,3,"(표 3-1) 블록시스템 재구축안에 따르면, 블록 내 미고립 지역 발생 여부 검토 시의 재구축안은 '블록구획 및 규모를 재설정(경계밸브신설, 밸브 및 관로폐쇄를 통한 블록정비 및 인접블록과 통합하여 고립 재설정)'입니다."
41,블록의 계층적 구조를 확보하기 위해 기존 관망 중에 배수본관의 후보가 되는 노선을 선정할 때 우선적으로 고려해야 할 사항은?,관로의 매설 연도,"관경이 크고, 유량 변동에 탄력적 대응이 가능한 노선",주변 토지 이용 특성,신설관 부설의 경제성,소블록 종점부 수요자의 필요 수압,2,"블록시스템의 계층적 구조를 확보하기 위해서는 기존 관망 중에 배수본관의 후보가 되는 노선을 우선적으로 선정하는데, 선정 대상은 주로 기존의 관망 중에 관경이 크고, 유량 변동에 탄력적 대응이 가능한 노선을 고려하여 선정해야 한다고 명시되어 있습니다."
42,"블록 재구축 계획 수립 시, 상수도관망 수리 해석 결과 분석을 통해 도출해야 할 문제점이 아닌 것은?",이상 수압 발생 지점,수질 저하 지점,정체 구간,"손실 수두 과대 구간 (관내 유속 과대, 통수능 부족)",블록 시스템 구축 및 운영 업무 절차의 비효율성,5,"블록시스템 내 상수도 관망 수리 해석 결과를 분석한 결과를 통해, 이상수압 발생지점, 수질 저하지점, 정체구간, 손실수두 과대 구간(관내 유속 과대, 통수능 부족) 등을 도출하여 블록 재구축안의 적정성을 확인합니다. 업무 절차의 비효율성은 수리 해석으로 직접 도출되는 문제점이 아닙니다."
43,블록 고립 여부를 판단하기 위한 수압 측정 위치로 보편적으로 선정하는 지점은?,블록 유입 지점만,블록 내 평균 수압 지점만,블록 내 최고점만,블록 내 최고점 및 최저점에 위치한 소화전,대수용가 수도꼭지,4,블록 고립 여부 확인을 위한 수압 측정 위치를 선정하는 것으로 보편적으로 블록 내 최고점 및 최저점에 위치한 소화전에서 수압을 측정하도록 한다고 명시되어 있습니다.
44,"수압계 로거를 수도꼭지에 설치할 때, 유의해야 할 사항으로 옳지 않은 것은?",가급적 옥외에 있는 수도꼭지 또는 옥외 화장실 내 수도꼭지를 이용한다.,"수도꼭지를 분리한 후 어댑터를 결합, 수압계 로거를 연결한다.","수도꼭지에 고무 패킹을 이용하여 설치할 경우, 고수압 또는 수압 편차가 심한 지역은 이탈될 우려가 있다.",가정용 펌프 또는 탱크로부터 연결된 수도꼭지를 최우선으로 이용한다.,지하수와 혼용되어 사용하는 수도꼭지인지 확인이 필요하다.,4,"가정용 펌프 또는 탱크로부터 연결된 수도꼭지이거나, 지하수와 혼용되어 사용하는 수도꼭지인지 확인이 필요하다고 언급되어 있으며, 이러한 수도꼭지는 정확한 측정에 방해가 될 수 있으므로 최우선 이용 대상이 아닙니다."
45,블록 고립 시 조작해야 할 경계 밸브에 대해 사전에 점검해야 할 사항이 아닌 것은?,"경계 밸브의 접근성 (매몰, 맨홀 여부 등)","경계 밸브의 작동 여부 (밸브 차단 완결성, 회전수, 회전 방향, 이물질 유입 등)",경계 밸브의 제조사 및 설치 연도,밸브 차단 완결성 확인 시험,(모든 보기가 사전에 점검해야 할 사항이다),3,"경계 밸브의 접근성 및 작동 여부 등은 사전에 점검해야 하지만, 제조사 및 설치 연도는 직접적인 점검 사항으로 명시되지 않았습니다."
46,블록 고립 확인 작업 시 '밸브 조작반'이 반드시 상황반에 보고해야 하는 내용은?,밸브 설치 연도 및 제조사,관로 내 침전물 교란 여부,"조작 시각, 회전수, 누수 여부",블록 내 수용가 수,소화전 개방으로 인한 구간 비워짐 현상,3,"경계 밸브 조작반은 밸브 차단 시 반드시 청음으로 밸브 차단의 완결성 여부를 확인해야 하며 조작 시각, 회전수, 누수 여부 등을 상황반에 반드시 보고하여야 한다고 명시되어 있습니다."
47,블록 고립 확인 작업 중 경계 밸브 차단 후 수압이 즉시 변동되지 않을 수 있으므로 필요 시 수행해야 하는 조치는?,다른 경계 밸브를 개방하여 물 흐름을 유도한다.,퇴수를 실시한 후에 측정한다.,수압계 로거의 위치를 변경한다.,밸브 조작반 인원을 추가 투입한다.,작업 시간을 연장한다.,2,지형 여건에 따라 경계 밸브 차단 후 수압이 즉시 변동되지 않을 수 있으므로 필요 시 퇴수를 실시한 후에 측정하여야 한다고 명시되어 있습니다.
48,관망에서 양의 압력(Positive Pressure)을 유지하는 것이 가장 중요한 운영 업무 중 하나인 이유는?,수도관의 물리적 손상을 방지하기 위함,누수를 최소화하여 유수율을 높이기 위함,압력이 음의 값이 되는 일이 지속적으로 발생하면 오접합 지점에서 역류나 역사이펀이 발생하여 오염된 물이 상수도 관망으로 유입될 수 있으므로,관로 내 잔류 염소 농도를 일정하게 유지하기 위함,체류 시간을 최소화하여 수질 문제를 방지하기 위함,3,압력이 음의 값이 되는 일이 지속적으로 발생하면 오접합 지점에서 역류나 역사이펀이 발생하여 오염된 물이 상수도 관망으로 유입될 수 있으므로 관망 내 모든 구역에서는 적절한 양압력 유지가 필요하다고 명시되어 있습니다.
49,관로 자동 드레인 설비의 주요 운영 목적이 아닌 것은?,관말 지역 잔류 염소 부족 해소,하절기 잔류 염소 부족 지역 수질 개선,유속이 느린 구간의 수질 관리,블록 고립 단수로 인한 적수(혼탁수) 배출,관내 유량 및 유속 측정,5,"자동 드레인 설비는 관말 지역, 하절기 잔류 염소 부족 지역, 유속이 느린 구간, 블록 고립으로 인한 적수(혼탁수) 배출을 위한 장치로, 수질 계측 설비와 연계하여 수질 변화를 감지하고 오염 물질을 배출하는 역할을 합니다. 유량 및 유속 측정은 주로 유량계나 수리 모델링을 통해 이루어집니다."
50,이토 밸브(배수 설비)를 상수관망의 저부에 설치하는 주요 목적은?,수압을 조절하여 균등 급수를 위함,공기 배출을 통해 관내 압력 상승을 방지하기 위함,수도관 내의 물을 퇴수하거나 이물질 등을 배제하기 위함,수질 변화를 감지하고 오염 물질을 외부로 배출하기 위함,비상시 블록 간 용수를 상호 공급하기 위함,3,이토 밸브는 상수관망의 저부에 위치하여 수도관 내의 물을 퇴수하거나 이물질 등을 배제하기 위해 설치한다고 명시되어 있습니다.
51,다음 중 상수도관로 블록시스템의 정의 및 개념에 대한 설명으로 가장 적절하지 않은 것은?,1964년 일본 니가타시 대지진 이후 손상된 상수관로 복구를 위해 처음 적용된 배수관망 구성법이다1.,재해나 재난 대응뿐만 아니라 누수관리 및 관로시설 유지관리 측면에서도 효율성이 입증되었다2.,"우리나라에서는 「수도법」에 따라 대블록, 중블록, 소블록으로 구성된다고 정의한다2.",격자형 배수관망이 3중으로 구성된 형태를 일반적으로 블록시스템이라고 지칭한다2.,주로 인구 밀집도가 낮은 지방의 중소규모 수도시설에 적용되는 수도관망 형태이다3.,5,"인구 밀집도가 낮은 수도권 외 지방의 중-소규모 수도시설 지역 등에 주로 적용하는 형태는 '수지상식 배수관망'이며, 블록시스템은 주로 3중식 격자형 배수관망을 지칭한다23."
52,상수도관망의 발전 형태 중 '단일 배수관로'의 주요 특징으로 옳은 것은?,배수지에서 점점 멀어질수록 수압 저하가 뚜렷해진다3.,관로의 기능을 독립적으로 부여하고 관리할 수 있다4.,"긴급하게 수도관을 부설할 때 주로 적용하며, 구축시간을 단축할 수 있다3.",유지관리 시 작업구간 이후 수용가에 대한 전면 단수를 피할 수 있다3.,재해 및 재난 대응에 수월한 장점을 가진다2.,3,"단일 배수관로는 배수지에서 일렬로 나열된 소단위 배수 형태이며, 배수관경이 작고 긴급 부설 시 구축시간 단축이 가능하다3. 수압 저하는 수지상식 관망의 특징이며3, 관로 기능 독립성은 격자형 관망의 특징이다4. 단일 관로는 유지관리 시 전면 단수가 불가피하다3."
53,수지상식 배수관망'의 특징으로 옳은 것을 모두 고른 것은? ㄱ. 인구 밀집도가 낮은 지역에 주로 적용된다. ㄴ. 수도관의 배수기능과 급수기능을 구분하기 어렵다. ㄷ. 최초 공급지점에서 멀어질수록 수압저하가 뚜렷해진다. ㄹ. 유사시 단수 구역을 최소화할 수 있다.,"ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄴ, ㄷ","ㄴ, ㄷ, ㄹ",4,"수지상식 배수관망은 인구 밀집도가 낮은 지방에 다수 분포하며3, 배수기능과 급수기능 구분이 어렵고3, 배수지에서 멀어질수록 수압저하가 뚜렷해진다는 특징이 있다3. 유사시 단수구역 최소화는 격자형 배수관망의 장점이다4."
54,격자형 배수관망에 대한 설명으로 가장 거리가 먼 것은?,관로의 기능을 독립적으로 각각 부여하고 관리할 수 있다4.,독립된 관로 간 주요 지점을 서로 연계할 수 있도록 구성할 수 있다4.,관로를 기능적으로 분리하여 운영하므로 단순성을 확보할 수 있다4.,단수 시 피해를 최소화하면서 신속하게 관로 기능을 복원할 수 없다24.,"각 기능이 분리된 지점과 연계된 경계지점에서 수압, 유량 측정 등을 통해 누수방지 조사가 쉽다4.",4,"격자형 배수관망은 유사시에도 단수 구역을 최소화할 수 있는 특징을 가지며4, 블록시스템의 기본 형태로서 재해 및 재난 발생 시 신속한 관로 기능 복원이 가능하다2."
55,유럽에서 블록시스템을 접근하는 개념인 DMA(District Meter Area)의 주된 목적은?,지진과 같은 재해로 인한 관로 피해를 최소화하는 것5.,비상시 대응체계를 손쉽게 확보하는 것67.,1개 DMA 내의 수압을 적절하게 유지하여 누수를 최소화하는 것5.,수량-수압-수질관리 및 비상시 대응 방안 마련 등 다양한 기능을 부여하는 것6.,효율적인 재해 및 재난 대응을 통해 관로 기능을 복원하는 것2.,3,"유럽의 DMA 방식은 배수시설 관리에 제어 개념을 결합하여, 1개 DMA 내의 수압을 적절하게 유지하여 누수를 최소화하는 것을 주된 목적으로 한다5. 일본의 블록시스템은 지진 재해 대응이 주 목적이며5, 한국의 미래 블록시스템 목표는 더 포괄적이다6."
56,다음 표는 DMA와 블록시스템의 개념을 비교한 것이다. 옳지 않은 것은?,"DMA의 개념도에 '유입 및 전체 사용량 계측, 누수량 산정'이 포함된다8.",블록시스템의 개념도에 '여러 개의 블록을 계층적으로 구성'이 포함된다7.,DMA의 내용에 'MNF(야간최소유량) 측정'이 포함된다8.,블록시스템의 내용에 '수압관리에 의한 블록 안정화 관리'가 포함된다8.,블록시스템의 내용에 '사고 예방 차원의 관망 관리가 포함되지 않는다8.,5,표 1-1에 따르면 블록시스템의 내용에 '사고 예방 차원의 관망 관리'가 명확히 포함되어 있다8.
57,블록시스템 구축의 4단계 업무 절차를 올바르게 나열한 것은?,블록고립 확인 → 블록분할방안 수립 → 블록시스템 운영 → 블록구축 시설물계획,블록분할방안 수립 → 블록고립 확인 → 블록구축 시설물계획 → 블록시스템 운영,블록구축 시설물계획 → 블록분할방안 수립 → 블록고립 확인 → 블록시스템 운영,블록분할방안 수립 → 블록구축 시설물계획 → 블록고립 확인 → 블록시스템 운영,블록고립 확인 → 블록구축 시설물계획 → 블록시스템 운영 → 블록분할방안 수립,2,"블록시스템 구축은 블록분할방안 수립, 블록고립 확인, 블록구축 시설물계획, 블록시스템 운영의 크게 4단계 업무 절차로 시행된다910."
58,블록시스템 구축 시 '블록분할'을 위한 계획 수립에 대한 설명으로 적절하지 않은 것은?,누수방지와 균등수압관리가 목표라면 지반고의 균일성을 제한조건으로 설정한다10.,"비상시 물 공급단위로도 활용되므로 행정구역, 지역 용도 등을 고려한다10.",토지 사용 용도에 따라 물 사용량 변동 특성이 다르므로 이를 완충할 수 있도록 분할한다11.,블록경계 부근 정체수 발생 등의 문제나 비용은 최소화하도록 유의한다11.,소규모 수도시설의 경우 표고에 따른 구역 설정은 합리적이지 않아 지양해야 한다11.,5,"소규모 수도시설이나 배수관망이 복잡하지 않은 지역의 경우, 표고에 따른 구역설정이나 부분적인 가압 또는 감압구역 설정이 합리적일 수 있음을 고려해야 한다11."
59,소블록 분할 기준 중 '급수전 규모'와 '표고차'에 대한 설명으로 옳은 것은?,"급수전: 50150전 규모, 표고차: 2.53.0m 이내12.","급수전: 5001,500전 규모, 표고차: 2.53.0m 이내12.","급수전: 50150전 규모, 표고차: 2530m 이내12.","급수전: 5001,500전 규모, 표고차: 2530m 이내12.","급수전: 1,5005,000전 규모, 표고차: 2530m 이내12.",4,"소블록의 분할 기준은 급수전 5001,500전 규모이며12, 수압 안정화를 위해 2530m 이내의 표고차를 고려한다12. 급수전 1,500~5,000전은 중블록의 규모이다12."
60,블록분할 방안 수립 시 '소블록'의 유입점 및 대수용가 관리에 대한 고려사항으로 적절한 것은?,소블록당 최소 2개 이상의 유입지점을 반드시 설치해야 한다12.,비상시를 대비하여 1개 이상의 비상유입점을 설치하는 것이 바람직하다12.,배수본관에서는 원칙적으로 급수관 분기를 허용해야 한다12.,급격한 수압저하를 유발하는 대수용가는 소블록에 포함하여 집중 관리해야 한다12.,소블록은 유량계측 체계상 최하위이므로 계층화를 최소화해야 한다13.,2,"소블록당 1개의 유입지점으로 공급하고, 비상시를 고려한 1개 이상의 비상유입점을 설치한다12. 배수본관은 원칙적으로 급수관 분기를 허용하지 않으며12, 대수용가는 가능한 소블록에서 제외하여 배수본관에서 직접 공급한다12. 유량계측 체계는 대-중-소블록으로 계층화해야 한다13."
61,상수도관로 블록시스템 구축 계획 수립 이전에 검토해야 할 '관련 상위계획'으로 옳지 않은 것은?,수도정비계획14.,물 수요관리 종합계획14.,"배수지, 송수, 배수 등 상수시설에 대한 신설개량계획14.",물 수요관리 시행계획14.,광역상수도와 지방상수도를 연계하여 운영할 필요가 있는 지역의 통합급수구역에 관한 사항14.,3,"배수지, 송수, 배수 등 상수시설에 대한 신설개량계획은 '관련 하위계획'에 해당한다14."
62,도상 블록분할 시 GIS 프로그램을 이용한 DMA 분석을 통해 파악해야 할 사항이 아닌 것은?,2530m 간격으로 등고선을 그려 각 범위에 해당하는 수용가수15.,각 범위에 해당하는 사용량15.,"1개 급수전으로 할당된 대수용가가 포함될 경우 적정 공급량 여부(7003,500m3/일)16.","물 수요 실태, 지형 등의 조건과 수원, 정수장의 위치15.","향후 사용량 산정 시 급수구역 조정 및 확장, 급수체계 조정에 따른 시설계획16.",4,"물 수요 실태, 지형 등의 조건과 수원, 정수장의 위치 등은 대-중블록 구성 시 고려사항이며15, GIS를 이용한 DMA 분석 시 파악하는 직접적인 사항은 아니다1516."
63,도상 블록분할 계획 수립 시 '소블록 구성'에 대한 설명으로 가장 적절한 것은?,소블록은 물 흐름이 바뀌어 탁수 문제가 발생할 수 있으므로 비상주입점을 멀리 설치해야 한다17.,관망 내 수압 변동을 크게 하기 위해 소블록은 직렬로만 구성해야 한다17.,기존 시설을 최대한 활용할 수 있도록 블록 경계를 계획해야 한다16.,자연적 경계가 구분되는 지역은 많은 경계밸브를 사용하여 인위적인 블록 경계를 만든다16.,탁수 문제를 최소화하기 위해 비상주입점은 블록유입점과 가장 멀리 떨어진 곳에 설치해야 한다17.,3,"도상 블록분할 시 기존시설(관로 및 밸브 등)을 최대한 활용할 수 있는 블록경계를 계획해야 한다16. 소블록은 가능한 병렬로 구성하고17, 비상주입점은 블록주입점에서 멀지 않은 곳에 설치하여 탁수문제를 최소화해야 한다17. 자연적 경계는 최소한의 경계밸브로 쉽게 구분할 수 있는 이상적인 경계지역이 될 수 있다16."
64,블록시스템 구축 시 현장조사 및 진단의 주요 사항으로 옳지 않은 것은?,"배수시설의 시설 규모, 사용빈도, 유지보수 이력 등을 수집한다18.","급수구역 및 급수 분기별 누수율, 관종, 관경, 부설연도 등을 조사한다18.",관망 내 과도한 손실수두 발생 여부 및 구간을 파악한다18.,"1차 측정 분석 결과, 관망 내 문제가 발견되면 즉시 블록분할을 확정한다19.",관망 내 수압분포 및 이상 수압 발생 여부를 확인한다18.,4,"1차 측정 분석 결과, 관망 내 문제가 확인된 경우에는 공기 정체 여부, 매몰 밸브 존치 여부, 누수 발생 여부 등을 확인하여 정상 동수두를 회복할 수 있는 조치를 취해야 하며, 그 후에 2차 측정을 통해 블록분할을 확정한다19."
65,블록시스템 구축 계획의 적정성을 확인하기 위한 '관망해석'의 목적이 아닌 것은?,블록 규모의 적정성 평가20.,블록분할에 따른 수압문제 검토20.,계절 및 장래 용수 사용량 변동에 따른 유량 및 수질의 적정성 평가20.,관망 모델의 신뢰도를 확보하기 위해 실측값과 계산값을 비교한다20.,수용가 개개인의 물 사용 패턴을 실시간으로 파악하는 것15.,5,"관망해석은 블록 단위의 규모, 수압, 유량, 수질의 적정성을 평가하는 데 사용되며20, 수용가 개개인의 실시간 물 사용 패턴 파악은 관망해석의 직접적인 목적이 아니다. 물 사용 패턴은 도상 블록분할 등 다른 단계에서 분석한다15."
66,관망 모델을 구축할 때 '관련 자료 및 현장조사 등 자료 입력'에 대한 설명으로 옳지 않은 것은?,"관로 기초자료(관경, 연장) 입력은 모델의 신뢰도에 큰 영향을 준다21.",관망의 연결 관계는 모델의 신뢰도에 큰 영향을 준다21.,현재 수요량은 요금자료를 이용하여 최근 3개월간의 사용량 평균값을 입력한다21.,"장래 수요량 산정 시 도시기본계획, 수도정비계획 등의 상위계획을 고려할 필요가 없다21.",수요량 배분은 실제 조건을 최대한 반영한 값을 입력해야 한다21.,4,"장래 수요량 산정 시 목표연도의 계획인구와 용수수요량을 알기 위해서는 도시기본계획, 수도정비계획과 국가통계자료를 참고하고 해당 지역의 개발 여건을 고려해야 한다21."
67,블록시스템의 '수압관리'에 대한 설명으로 가장 거리가 먼 것은?,블록 내 균등한 수압과 적정한 수량 배분을 도모하는 것이 목적이다22.,수압 관리는 재 누수 현상을 방지하고 누수량을 효과적으로 감소시킬 수 있다22.,수압 제어밸브 등을 이용하지 않고 자연유하식 급수구역을 경계밸브로 나누는 것이 가장 효과적인 방법이다23.,고수압 지역은 감압밸브를 설치하고 저수압 지역은 가압펌프를 설치해야 한다24.,감압밸브는 유출측의 수압을 원하는 수준으로 맞추면 상-하류의 수압차에 의해 작동한다24.,3,"경계밸브를 이용한 자연유하식 급수구역 관리는 가장 간단한 수압관리 방법이지만, 감압밸브와 가압펌프를 이용한 방법보다는 효과가 떨어진다23."
68,블록단위 압력 제어 방안 수립을 위한 '적정 수압기준 범위'로 옳은 것은?,"최소동수압 0.5 kgf/cm2, 최대정수압 3.0 kgf/cm225.","최소동수압 1.0 kgf/cm2, 최대정수압 5.0 kgf/cm225.","최소동수압 1.5 kgf/cm2, 최대정수압 7.0 kgf/cm225.","최소동수압 2.0 kgf/cm2, 최대정수압 8.0 kgf/cm225.","최소동수압 2.5 kgf/cm2, 최대정수압 10.0 kgf/cm225.",3,블록단위 압력 제어 방안 수립 시 적정 수압기준 범위는 최소동수압 1.5 kgf/cm2(150 kPa)과 최대정수압 7.0 kgf/cm2(700 kPa)을 고려하여 현장 여건에 따라 조정이 필요하다25.
69,블록시스템 구축에 따른 수질 변화 검토 및 대안 제시와 관련된 설명으로 옳지 않은 것은?,일반적으로 블록 구축 시 밸브 차단으로 인해 사수지역 및 정체구역에서 수질 문제가 야기될 가능성이 높다26.,"수질 문제 발생 가능지역에는 이토밸브, 소화전 또는 자동드레인 장치 등을 설치하여 주기적인 유체 흐름을 발생시켜야 한다27.","배·급수관망의 수질 악화를 방지하기 위해서는 지속적인 수질 감시, 잔류염소 균등화 관리 등이 필요하다27.",국내 수도꼭지의 먹는 물 유리잔류염소는 항상 0.4mg/L 이상이 되도록 해야 한다28.,수돗물 염소 냄새 저감을 위해 정수장 잔류염소 관리기준을 자체적으로 최적화하여 운영할 수 있다29.,4,"국내 수도법 시행규칙 제22조의 2 제3항에 따르면 수도꼭지의 먹는 물 유리잔류염소는 항상 0.1mg/L 이상이 되도록 해야 하며, 병원성 미생물 오염 우려 시 0.4mg/L 이상으로 한다2829."
70,상수도관망에서의 잔류염소 농도에 대한 국내 기준과 세계보건기구(WHO)의 상한기준으로 옳은 것은?,"국내 0.1mg/L, WHO 5.0mg/L28.","국내 0.4mg/L, WHO 4.0mg/L28.","국내 1.0mg/L, WHO 5.0mg/L28.","국내 4.0mg/L, WHO 5.0mg/L28.","국내 5.0mg/L, WHO 4.0mg/L28.",4,"국내의 정수장 잔류염소 상한기준은 4.0mg/L이고, WHO의 Guidelines for Drinking-water Quality(4th Edition, 2011) 기준은 5.0mg/L이다28."
71,블록시스템 운영 중 비상 공급대책 수립을 위한 '비상관로 계획' 시 유의사항으로 옳지 않은 것은?,대블록 사이에는 23개 정도의 비상관로를 설치하여 차단 구간에서 사수 발생을 예상해야 한다30.,소블록은 해당 블록의 유입관로와 유사한 관경을 가진 배수관로와 배수본관이 교차하는 지점에 비상관로 12개소를 설치한다30.,비상관로 사용 시 물 흐름 방향이 바뀌어 탁수가 발생할 우려가 없도록 설계해야 한다30.,탁수 발생 우려가 있을 경우 차단밸브를 설치하거나 중간에 이토밸브나 소화전을 설치하여 사수를 배출할 수 있도록 한다31.,유량계에 역류방지용 밸브를 설치하여 역류로 인한 유량 오차가 발생하지 않도록 한다31.,3,"비상관로 사용 시 물 흐름 방향이 바뀌어 관 내부의 정체수나 스케일이 박리되어 수질 민원 등이 발생할 우려가 있으므로 이에 대한 대책을 세워야 한다31. 즉, '탁수가 발생할 우려가 없도록' 설계하는 것이 아니라, 우려를 인지하고 대처 방안을 마련하는 것이 필요하다."
72,블록시스템 운영 중 발생할 수 있는 문제점 중 '관말에서의 정체수 발생'에 대한 설명으로 옳은 것은?,고지대나 구릉지대에서는 유속이 빨라 정체수가 발생하지 않는다32.,정체수는 주로 탁도 감소와 잔류염소 증가를 유발하여 수질을 향상시킨다32.,관말 정체지역은 주로 중블록에서만 발생한다32.,정체수 제거를 위해 주기적으로 소화전 또는 이토밸브 설치를 고려해야 한다32.,정체수 발생은 블록 규모가 커질수록 줄어드는 경향이 있다32.,4,"관말 정체지역에서는 탁도의 증가 및 잔류염소 부족으로 인해 수질이 저하되며32, 이를 제거하기 위해 주기적인 배제 업무 또는 소화전, 이토밸브 설치를 고려해야 한다32. 관말 정체수는 소블록과 중블록 모두에서 발생할 수 있다32."
73,블록시스템 운영 중 '블록 경계 변경'으로 인해 발생할 수 있는 혼동에 대한 설명으로 옳은 것은?,블록 경계 변경은 항상 유량 증가를 의미하므로 누수량 산정에 긍정적인 영향을 준다33.,블록 고립 해제나 수용가 급수 패턴 변화는 블록 업무에서 혼동을 유발하지 않는다33.,유량 증가가 누수량 증가로 오인될 수 있어 유수율 산정과 운영 관리에 부정적 영향을 줄 수 있다33.,블록 경계가 변경되면 유량 변화에 영향을 미치지 않는다33.,급수구역 확대나 관망 유지관리는 블록 경계 변경과 무관하다34.,3,"블록 경계가 변경되면 유량 변화에 영향을 미치게 되며, 이에 대한 원인을 제대로 파악하지 않았을 경우 유량 증가를 누수량 증가로 오인하여 유수율 산정과 운영 관리에 부정적인 영향을 초래할 수 있다33. 급수구역 확대나 관망 유지관리는 블록 경계 변경의 주요 원인이다34."
74,효율적인 블록시스템 운영을 위한 '기타시설 계획' 시 유의사항으로 옳지 않은 것은?,"지형 및 관망 여건을 고려하여 공기밸브(고지대), 이토밸브(저지대), 제수밸브 등을 적절히 배치해야 한다35.",블록고립으로 인한 관말부 정체수 배제를 위해 이토밸브의 적절한 위치와 개소수를 결정해야 한다36.,순환관로는 블록 구축으로 인해 생성된 관말 단부 중 사용량이 적은 지역에 설치한다36.,"수압정보 취득을 위해 적절한 지점에 수압계측시설(소화전, 수압계실 등) 설치를 고려해야 한다36.",사고 발생 시 단수지역 최소화를 위해 밸브들을 적절히 배치해야 한다35.,3,순환관로는 블록 구축으로 인해 생성된 관말 단부 중 '사용량이 많은 지역'에 설치한다36. 사용량이 적은 지역에는 이토밸브를 고려한다36.
75,블록 경계 변경 요인 중 '일시적 변경'에 해당하지 않는 것은?,"누수탐사 중 관로 교체, 청소 및 갱생과 같은 관망 관리 활동에서 비롯되는 경계변경34.",낮은 수압 해소를 위한 경계밸브 개방34.,밸브 조작 이후 작업자들의 망각으로 인한 경계밸브 개방34.,인구 변동 및 공업용수의 수요 변경에 따른 일시적인 경계변경34.,신규 급수구역의 확대34.,5,신규 급수구역의 확대는 '영구적 변경'의 요인에 해당한다34.
76,경계관리를 위한 기술 중 Master Key(Wiz Key)에 대한 설명으로 옳지 않은 것은?,일반 밸브키로는 개방 및 차단이 불가능한 제수밸브에 사용된다37.,"밸브 내부에 밸브 번호, 관경 및 밸브 종류, 밸브 개도율, 열림 방향 등이 기록된 장치가 내장되어 있다37.",Wiz-Key라는 별도의 장치를 사용하여 밸브를 작동시킨다37.,밸브 오작동으로 인한 사고 및 혼란을 미연에 방지할 수 없다37.,Wiz-Key에 내장된 정보는 PC로도 다운로드가 가능하다37.,4,Master Key(Wiz Key)는 밸브의 각종 정보를 현장에서 바로 확인할 수 있으므로 밸브 오작동으로 인한 사고 및 혼란 등을 미연에 방지할 수 있다37.
77,"지하매설물 유지보수 시 위치 및 정보 파악의 어려움을 해소하고 유지관리 효율성을 극대화하는 기술로, 일부 지자체에 시범 설치되어 있는 것은?",GIS (Geographic Information System)15.,SCADA (Supervisory Control And Data Acquisition)38.,RFID (Radio-Frequency Identification)39.,DMA (District Meter Area)5.,PMA (Pressure Management Area)8.,3,"RFID 기술은 지하시설물에 태그를 부착하여 유지관리자가 태블릿, 노트북 등을 통해 정보를 숙지하고 효율적인 유지관리를 가능하게 한다39."
78,기존 블록시스템 평가 결과 '블록 구획 및 규모의 부적정성 또는 미고립 지역 발생' 문제가 발견되었을 때의 재구축안으로 옳은 것은?,비상연결관 설치 및 비상급수대책 수립40.,펌프 또는 밸브 설치 및 조작으로 수압 관리40.,관망정비 및 자동드레인 설비 설치40.,"블록 구획 및 규모를 재설정 (경계밸브 신설, 밸브 및 관로 폐쇄, 인접 블록 통합)41.","수리적, 수질적 문제 발생 여부 검토41.",4,기존 블록시스템 평가항목 중 '블록 구획 및 규모의 부적정성 또는 블록 내 미고립 지역 발생 여부' 문제의 재구축안은 블록 구획 및 규모 재설정이다41.
79,블록의 계층적 구조에서 '소블록'이 가지는 주요 특징이자 규모 설정 방침으로 가장 적절한 것은?,유량 관리의 기본 단위가 된다40.,배수구역 또는 정수장 분담구역이 공간적 크기가 된다42.,수압 관리의 기본 단위이므로 지형적으로 균일하고 동수압이 크게 저하되지 않는 공간적 크기로 해야 한다40.,여러 개의 소블록을 포함하여 구성된다12.,배수지나 정수장의 능력을 초과하지 않는 범위여야 한다42.,3,"소블록은 수압 관리의 기본 단위이며, 지형적으로 균일하고 동수압이 크게 저하되지 않는 공간적 크기로 설정해야 한다40. 유량 관리는 중블록42, 배수구역이나 정수장 분담구역은 대블록의 크기가 될 수 있다42."
